issuer_slug,current_municipality_ehak,mapping_source,mapping_evidence
hanila_vallavalitsus,0430,haldusreform-2017,Wikidata: Hanila vald (EHAK 0195) -> Lääneranna vald (EHAK 0430); per RT I 21.06.2017 1
hanila_vallavolikogu,0430,haldusreform-2017,Wikidata: Hanila vald (EHAK 0195) -> Lääneranna vald (EHAK 0430); per RT I 21.06.2017 1
helme_vallavolikogu,0824,haldusreform-2017,Wikidata: Helme vald (EHAK 0203) -> Tõrva vald (EHAK 0824); per RT I 21.06.2017 1
hiiu_vallavolikogu,0205,haldusreform-2017,Wikidata: Hiiu vald (EHAK 0204) -> Hiiumaa vald (EHAK 0205); per RT I 21.06.2017 1
hummuli_vallavalitsus,0824,haldusreform-2017,Wikidata: Hummuli vald (EHAK 0208) -> Tõrva vald (EHAK 0824); per RT I 21.06.2017 1
hummuli_vallavolikogu,0824,haldusreform-2017,Wikidata: Hummuli vald (EHAK 0208) -> Tõrva vald (EHAK 0824); per RT I 21.06.2017 1
iisaku_vallavolikogu,0130,haldusreform-2017,Wikidata: Iisaku vald (EHAK 0224) -> Alutaguse vald (EHAK 0130); per RT I 21.06.2017 1
illuka_vallavolikogu,0130,haldusreform-2017,Wikidata: Illuka vald (EHAK 0229) -> Alutaguse vald (EHAK 0130); per RT I 21.06.2017 1
imavere_vallavolikogu,0255,haldusreform-2017,Wikidata: Imavere vald (EHAK 0234) -> Järva vald (EHAK 0255); per RT I 21.06.2017 1
jarva_jaani_vallavalitsus,0255,haldusreform-2017,Wikidata: Järva-Jaani vald (EHAK 0257) -> Järva vald (EHAK 0255); per RT I 21.06.2017 1
jarvakandi_vallavolikogu,0293,haldusreform-2017,Wikidata: Järvakandi vald (EHAK 0260) -> Kehtna vald (EHAK 0293); per RT I 21.06.2017 1
jogeva_linnavalitsus,0247,haldusreform-2017,Wikidata: Jõgeva linn (EHAK 0249) -> Jõgeva vald (EHAK 0247); per RT I 21.06.2017 1
jogeva_linnavolikogu,0247,haldusreform-2017,Wikidata: Jõgeva linn (EHAK 0249) -> Jõgeva vald (EHAK 0247); per RT I 21.06.2017 1
juuru_vallavolikogu,0668,haldusreform-2017,Wikidata: Juuru vald (EHAK 0240) -> Rapla vald (EHAK 0668); per RT I 21.06.2017 1
kaarma_vallavolikogu,0714,haldusreform-2017,Wikidata: Kaarma vald (EHAK 0270) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
kaina_vallavalitsus,0205,haldusreform-2017,Wikidata: Käina vald (EHAK 0368) -> Hiiumaa vald (EHAK 0205); per RT I 21.06.2017 1
kaina_vallavolikogu,0205,haldusreform-2017,Wikidata: Käina vald (EHAK 0368) -> Hiiumaa vald (EHAK 0205); per RT I 21.06.2017 1
kaiu_vallavolikogu,0668,haldusreform-2017,Wikidata: Kaiu vald (EHAK 0277) -> Rapla vald (EHAK 0668); per RT I 21.06.2017 1
kallaste_linnavolikogu,0586,haldusreform-2017,Wikidata: Kallaste linn (EHAK 0279) -> Peipsiääre vald (EHAK 0586); per RT I 21.06.2017 1
kardla_linnavolikogu,0205,haldusreform-2017,Wikidata: Kärdla linn (EHAK 0371) -> Hiiumaa vald (EHAK 0205); per RT I 21.06.2017 1
kareda_vallavolikogu,0255,haldusreform-2017,Wikidata: Kareda vald (EHAK 0288) -> Järva vald (EHAK 0255); per RT I 21.06.2017 1
karksi_vallavolikogu,0480,haldusreform-2017,Wikidata: Karksi vald (EHAK 0600) -> Mulgi vald (EHAK 0480); per RT I 21.06.2017 1
karla_vallavolikogu,0714,haldusreform-2017,Wikidata: Kärla vald (EHAK 0373) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
karula_vallavalitsus,0855,haldusreform-2017,Wikidata: Karula vald (EHAK 0289) -> Valga vald (EHAK 0855); per RT I 21.06.2017 1
karula_vallavolikogu,0855,haldusreform-2017,Wikidata: Karula vald (EHAK 0289) -> Valga vald (EHAK 0855); per RT I 21.06.2017 1
keila_vallavolikogu,0431,haldusreform-2017,Wikidata: Keila vald (EHAK 0295) -> Lääne-Harju vald (EHAK 0431); per RT I 21.06.2017 1
kernu_vallavolikogu,0726,haldusreform-2017,Wikidata: Kernu vald (EHAK 0297) -> Saue vald (EHAK 0726); per RT I 21.06.2017 1
kihelkonna_vallavalitsus,0714,haldusreform-2017,Wikidata: Kihelkonna vald (EHAK 0301) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
kihelkonna_vallavolikogu,0714,haldusreform-2017,Wikidata: Kihelkonna vald (EHAK 0301) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
kivioli_linnavalitsus,0442,haldusreform-2017,Wikidata: Kiviõli linn (EHAK 0309) -> Lüganuse vald (EHAK 0442); per RT I 21.06.2017 1
kivioli_linnavolikogu,0442,haldusreform-2017,Wikidata: Kiviõli linn (EHAK 0309) -> Lüganuse vald (EHAK 0442); per RT I 21.06.2017 1
koeru_vallavolikogu,0255,haldusreform-2017,Wikidata: Koeru vald (EHAK 0314) -> Järva vald (EHAK 0255); per RT I 21.06.2017 1
kohtla_nomme_vallavolikogu,0803,haldusreform-2017,Wikidata: Kohtla-Nõmme vald (EHAK 0323) -> Toila vald (EHAK 0803); per RT I 21.06.2017 1
kohtla_vallavolikogu,0803,haldusreform-2017,Wikidata: Kohtla vald (EHAK 0320) -> Toila vald (EHAK 0803); per RT I 21.06.2017 1
koigi_vallavolikogu,0255,haldusreform-2017,Wikidata: Koigi vald (EHAK 0325) -> Järva vald (EHAK 0255); per RT I 21.06.2017 1
kolga_jaani_vallavolikogu,0899,haldusreform-2017,Wikidata: Kolga-Jaani vald (EHAK 0328) -> Viljandi vald (EHAK 0899); per RT I 21.06.2017 1
kolleste_vallavolikogu,0284,haldusreform-2017,Wikidata: Kõlleste vald (EHAK 0354) -> Kanepi vald (EHAK 0284); per RT I 21.06.2017 1
konguta_vallavalitsus,0171,haldusreform-2017,Wikidata: Konguta vald (EHAK 0331) -> Elva vald (EHAK 0171); per RT I 21.06.2017 1
konguta_vallavolikogu,0171,haldusreform-2017,Wikidata: Konguta vald (EHAK 0331) -> Elva vald (EHAK 0171); per RT I 21.06.2017 1
koo_vallavalitsus,0615,haldusreform-2017,Wikidata: Kõo vald (EHAK 0357) -> Põhja-Sakala vald (EHAK 0615); per RT I 21.06.2017 1
koonga_vallavalitsus,0430,haldusreform-2017,Wikidata: Koonga vald (EHAK 0334) -> Lääneranna vald (EHAK 0430); per RT I 21.06.2017 1
koonga_vallavolikogu,0430,haldusreform-2017,Wikidata: Koonga vald (EHAK 0334) -> Lääneranna vald (EHAK 0430); per RT I 21.06.2017 1
kopu_vallavalitsus,0615,haldusreform-2017,Wikidata: Kõpu vald (EHAK 0360) -> Põhja-Sakala vald (EHAK 0615); per RT I 21.06.2017 1
kopu_vallavolikogu,0615,haldusreform-2017,Wikidata: Kõpu vald (EHAK 0360) -> Põhja-Sakala vald (EHAK 0615); per RT I 21.06.2017 1
korgessaare_vallavolikogu,0205,haldusreform-2017,Wikidata: Kõrgessaare vald (EHAK 0392) -> Hiiumaa vald (EHAK 0205); per RT I 21.06.2017 1
koue_vallavolikogu,0338,haldusreform-2017,Wikidata: Kõue vald (EHAK 0363) -> Kose vald (EHAK 0338); per RT I 21.06.2017 1
kullamaa_vallavolikogu,0441,haldusreform-2017,Wikidata: Kullamaa vald (EHAK 0342) -> Lääne-Nigula vald (EHAK 0441); per RT I 21.06.2017 1
kunda_linnavolikogu,0903,haldusreform-2017,Wikidata: Kunda linn (EHAK 0345) -> Viru-Nigula vald (EHAK 0903); per RT I 21.06.2017 1
kuressaare_linnavalitsus,0714,haldusreform-2017,Wikidata: Kuressaare linn (EHAK 0349) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
kuressaare_linnavolikogu,0714,haldusreform-2017,Wikidata: Kuressaare linn (EHAK 0349) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
laane_saare_vallavolikogu,0714,haldusreform-2017,Wikidata: Lääne-Saare vald (EHAK 0433) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
laekvere_vallavalitsus,0901,haldusreform-2017,Wikidata: Laekvere vald (EHAK 0381) -> Vinni vald (EHAK 0901); per RT I 21.06.2017 1
laekvere_vallavolikogu,0901,haldusreform-2017,Wikidata: Laekvere vald (EHAK 0381) -> Vinni vald (EHAK 0901); per RT I 21.06.2017 1
laeva_vallavolikogu,0796,haldusreform-2017,Wikidata: Laeva vald (EHAK 0383) -> Tartu vald (EHAK 0796); per RT I 21.06.2017 1
laheda_vallavolikogu,0622,haldusreform-2017,Wikidata: Laheda vald (EHAK 0385) -> Põlva vald (EHAK 0622); per RT I 21.06.2017 1
laimjala_vallavolikogu,0714,haldusreform-2017,Wikidata: Laimjala vald (EHAK 0386) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
lasva_vallavolikogu,0917,haldusreform-2017,Wikidata: Lasva vald (EHAK 0389) -> Võru vald (EHAK 0917); per RT I 21.06.2017 1
lavassaare_vallavolikogu,0624,haldusreform-2017,Wikidata: Lavassaare vald (EHAK 0395) -> Pärnu linn (EHAK 0624); per RT I 21.06.2017 1
leisi_vallavalitsus,0714,haldusreform-2017,Wikidata: Leisi vald (EHAK 0403) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
leisi_vallavolikogu,0714,haldusreform-2017,Wikidata: Leisi vald (EHAK 0403) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
lihula_vallavolikogu,0430,haldusreform-2017,Wikidata: Lihula vald (EHAK 0411) -> Lääneranna vald (EHAK 0430); per RT I 21.06.2017 1
lohusuu_vallavolikogu,0486,haldusreform-2017,Wikidata: Lohusuu vald (EHAK 0420) -> Mustvee vald (EHAK 0486); per RT I 21.06.2017 1
maetaguse_vallavolikogu,0130,haldusreform-2017,Wikidata: Mäetaguse vald (EHAK 0498) -> Alutaguse vald (EHAK 0130); per RT I 21.06.2017 1
maidla_vallavolikogu,0442,haldusreform-2017,Wikidata: Maidla vald (EHAK 0449) -> Lüganuse vald (EHAK 0442); per RT I 21.06.2017 1
maksa_vallavalitsus,0291,haldusreform-2017,Wikidata: Mäksa vald (EHAK 0501) -> Kastre vald (EHAK 0291); per RT I 21.06.2017 1
maksa_vallavolikogu,0291,haldusreform-2017,Wikidata: Mäksa vald (EHAK 0501) -> Kastre vald (EHAK 0291); per RT I 21.06.2017 1
martna_vallavolikogu,0441,haldusreform-2017,Wikidata: Martna vald (EHAK 0452) -> Lääne-Nigula vald (EHAK 0441); per RT I 21.06.2017 1
meremae_vallavalitsus,0732,haldusreform-2017,Wikidata: Meremäe vald (EHAK 0460) -> Setomaa vald (EHAK 0732); per RT I 21.06.2017 1
meremae_vallavolikogu,0732,haldusreform-2017,Wikidata: Meremäe vald (EHAK 0460) -> Setomaa vald (EHAK 0732); per RT I 21.06.2017 1
mikitamae_vallavolikogu,0732,haldusreform-2017,Wikidata: Mikitamäe vald (EHAK 0465) -> Setomaa vald (EHAK 0732); per RT I 21.06.2017 1
misso_vallavolikogu,0698,manual-review,"Misso vald (EHAK 0468) was split in the 2017 reform: most territory plus the administrative center (Misso village) merged into Rõuge vald (0698); southern Saatse/Lüübnitsa parishes joined Setomaa vald (0732). Choosing Rõuge vald as primary successor since the Misso vallavolikogu seat is in Rõuge territory. Wikidata records both successors via P1366."
moisakula_linnavolikogu,0480,haldusreform-2017,Wikidata: Mõisaküla linn (EHAK 0490) -> Mulgi vald (EHAK 0480); per RT I 21.06.2017 1
moniste_vallavolikogu,0698,haldusreform-2017,Wikidata: Mõniste vald (EHAK 0493) -> Rõuge vald (EHAK 0698); per RT I 21.06.2017 1
mooste_vallavalitsus,0622,haldusreform-2017,Wikidata: Mooste vald (EHAK 0473) -> Põlva vald (EHAK 0622); per RT I 21.06.2017 1
mustjala_vallavalitsus,0714,haldusreform-2017,Wikidata: Mustjala vald (EHAK 0483) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
mustjala_vallavolikogu,0714,haldusreform-2017,Wikidata: Mustjala vald (EHAK 0483) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
mustvee_linnavolikogu,0486,haldusreform-2017,Wikidata: Mustvee linn (EHAK 0485) -> Mustvee vald (EHAK 0486); per RT I 21.06.2017 1
nissi_vallavalitsus,0726,haldusreform-2017,Wikidata: Nissi vald (EHAK 0517) -> Saue vald (EHAK 0726); per RT I 21.06.2017 1
nissi_vallavolikogu,0726,haldusreform-2017,Wikidata: Nissi vald (EHAK 0517) -> Saue vald (EHAK 0726); per RT I 21.06.2017 1
noarootsi_vallavolikogu,0441,haldusreform-2017,Wikidata: Noarootsi vald (EHAK 0520) -> Lääne-Nigula vald (EHAK 0441); per RT I 21.06.2017 1
nova_vallavolikogu,0441,haldusreform-2017,Wikidata: Nõva vald (EHAK 0531) -> Lääne-Nigula vald (EHAK 0441); per RT I 21.06.2017 1
olustvere_vallavolikogu,0615,haldusreform-2017,Wikidata: Olustvere vald (EHAK 0545) -> Põhja-Sakala vald (EHAK 0615); per RT I 21.06.2017 1
orava_vallavolikogu,0917,haldusreform-2017,Wikidata: Orava vald (EHAK 0547) -> Võru vald (EHAK 0917); per RT I 21.06.2017 1
orissaare_vallavolikogu,0714,haldusreform-2017,Wikidata: Orissaare vald (EHAK 0550) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
padise_vallavolikogu,0431,haldusreform-2017,Wikidata: Padise vald (EHAK 0562) -> Lääne-Harju vald (EHAK 0431); per RT I 21.06.2017 1
paide_vallavolikogu,0567,haldusreform-2017,Wikidata: Paide vald (EHAK 0565) -> Paide linn (EHAK 0567); per RT I 21.06.2017 1
paikuse_vallavolikogu,0624,haldusreform-2017,Wikidata: Paikuse vald (EHAK 0568) -> Pärnu linn (EHAK 0624); per RT I 21.06.2017 1
paistu_vallavalitsus,0899,haldusreform-2017,Wikidata: Paistu vald (EHAK 0570) -> Viljandi vald (EHAK 0899); per RT I 21.06.2017 1
paistu_vallavolikogu,0899,haldusreform-2017,Wikidata: Paistu vald (EHAK 0570) -> Viljandi vald (EHAK 0899); per RT I 21.06.2017 1
palamuse_vallavolikogu,0247,haldusreform-2017,Wikidata: Palamuse vald (EHAK 0578) -> Jõgeva vald (EHAK 0247); per RT I 21.06.2017 1
paldiski_linnavalitsus,0431,haldusreform-2017,Wikidata: Paldiski linn (EHAK 0580) -> Lääne-Harju vald (EHAK 0431); per RT I 21.06.2017 1
paldiski_linnavolikogu,0431,haldusreform-2017,Wikidata: Paldiski linn (EHAK 0580) -> Lääne-Harju vald (EHAK 0431); per RT I 21.06.2017 1
palupera_vallavalitsus,0557,manual-review,"Palupera vald (EHAK 0582) was split in the 2017 reform: northern part with administrative center → Otepää vald (0557); southern part → Elva vald (0171). Choosing Otepää as primary successor since the Palupera vallavolikogu seat is in Otepää territory. Wikidata records both via P1366."
palupera_vallavolikogu,0557,manual-review,"Palupera vald (EHAK 0582) was split in the 2017 reform: northern part with administrative center → Otepää vald (0557); southern part → Elva vald (0171). Choosing Otepää as primary successor since the Palupera vallavolikogu seat is in Otepää territory. Wikidata records both via P1366."
parsti_vallavolikogu,0899,haldusreform-2017,Wikidata: Pärsti vald (EHAK 0629) -> Viljandi vald (EHAK 0899); per RT I 21.06.2017 1
pihtla_vallavolikogu,0714,haldusreform-2017,Wikidata: Pihtla vald (EHAK 0592) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
piirissaare_vallavolikogu,0796,haldusreform-2017,Wikidata: Piirissaare vald (EHAK 0595) -> Tartu vald (EHAK 0796); per RT I 21.06.2017 1
podrala_vallavolikogu,0824,haldusreform-2017,Wikidata: Põdrala vald (EHAK 0613) -> Tõrva vald (EHAK 0824); per RT I 21.06.2017 1
poide_vallavolikogu,0714,haldusreform-2017,Wikidata: Pöide vald (EHAK 0634) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
poltsamaa_linnavolikogu,0618,haldusreform-2017,Wikidata: Põltsamaa linn (EHAK 0617) -> Põltsamaa vald (EHAK 0618); per RT I 21.06.2017 1
polva_linnavolikogu,0622,haldusreform-2017,Wikidata: Põlva linn (EHAK 0620) -> Põlva vald (EHAK 0622); per RT I 21.06.2017 1
puhalepa_vallavolikogu,0205,haldusreform-2017,Wikidata: Pühalepa vald (EHAK 0639) -> Hiiumaa vald (EHAK 0205); per RT I 21.06.2017 1
puhja_vallavolikogu,0171,haldusreform-2017,Wikidata: Puhja vald (EHAK 0605) -> Elva vald (EHAK 0171); per RT I 21.06.2017 1
puka_vallavolikogu,0557,manual-review,"Puka vald (EHAK 0608) was split in the 2017 reform: northern part with administrative center (Puka village) → Otepää vald (0557); Aakre area → Elva vald (0171). Choosing Otepää as primary successor since the Puka vallavolikogu seat is in Otepää territory. Wikidata records both via P1366."
puurmani_vallavolikogu,0618,haldusreform-2017,Wikidata: Puurmani vald (EHAK 0611) -> Põltsamaa vald (EHAK 0618); per RT I 21.06.2017 1
ragavere_vallavolikogu,0901,haldusreform-2017,Wikidata: Rägavere vald (EHAK 0702) -> Vinni vald (EHAK 0901); per RT I 21.06.2017 1
rannu_vallavolikogu,0171,haldusreform-2017,Wikidata: Rannu vald (EHAK 0666) -> Elva vald (EHAK 0171); per RT I 21.06.2017 1
ridala_vallavolikogu,0184,haldusreform-2017,Wikidata: Ridala vald (EHAK 0674) -> Haapsalu linn (EHAK 0184); per RT I 21.06.2017 1
rongu_vallavalitsus,0171,haldusreform-2017,Wikidata: Rõngu vald (EHAK 0694) -> Elva vald (EHAK 0171); per RT I 21.06.2017 1
rongu_vallavolikogu,0171,haldusreform-2017,Wikidata: Rõngu vald (EHAK 0694) -> Elva vald (EHAK 0171); per RT I 21.06.2017 1
roosna_alliku_vallavolikogu,0567,haldusreform-2017,Wikidata: Roosna-Alliku vald (EHAK 0684) -> Paide linn (EHAK 0567); per RT I 21.06.2017 1
saare_vallavolikogu,0486,haldusreform-2017,Wikidata: Saare vald (EHAK 0713) -> Mustvee vald (EHAK 0486); per RT I 21.06.2017 1
saarepeedi_vallavalitsus,0899,haldusreform-2017,Wikidata: Saarepeedi vald (EHAK 0715) -> Viljandi vald (EHAK 0899); per RT I 21.06.2017 1
saarepeedi_vallavolikogu,0899,haldusreform-2017,Wikidata: Saarepeedi vald (EHAK 0715) -> Viljandi vald (EHAK 0899); per RT I 21.06.2017 1
salme_vallavolikogu,0714,haldusreform-2017,Wikidata: Salme vald (EHAK 0721) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
sangaste_vallavolikogu,0557,haldusreform-2017,Wikidata: Sangaste vald (EHAK 0724) -> Otepää vald (EHAK 0557); per RT I 21.06.2017 1
saue_linnavolikogu,0726,haldusreform-2017,Wikidata: Saue linn (EHAK 0728) -> Saue vald (EHAK 0726); per RT I 21.06.2017 1
sauga_vallavolikogu,0809,haldusreform-2017,Wikidata: Sauga vald (EHAK 0730) -> Tori vald (EHAK 0809); per RT I 21.06.2017 1
sindi_linnavolikogu,0809,haldusreform-2017,Wikidata: Sindi linn (EHAK 0741) -> Tori vald (EHAK 0809); per RT I 21.06.2017 1
somerpalu_vallavalitsus,0917,haldusreform-2017,Wikidata: Sõmerpalu vald (EHAK 0767) -> Võru vald (EHAK 0917); per RT I 21.06.2017 1
somerpalu_vallavolikogu,0917,haldusreform-2017,Wikidata: Sõmerpalu vald (EHAK 0767) -> Võru vald (EHAK 0917); per RT I 21.06.2017 1
someru_vallavalitsus,0661,haldusreform-2017,Wikidata: Sõmeru vald (EHAK 0770) -> Rakvere vald (EHAK 0661); per RT I 21.06.2017 1
someru_vallavolikogu,0661,haldusreform-2017,Wikidata: Sõmeru vald (EHAK 0770) -> Rakvere vald (EHAK 0661); per RT I 21.06.2017 1
surju_vallavolikogu,0712,haldusreform-2017,Wikidata: Surju vald (EHAK 0756) -> Saarde vald (EHAK 0712); per RT I 21.06.2017 1
suure_jaani_linnavolikogu,0615,haldusreform-2017,Wikidata: Suure-Jaani linn (EHAK 0760) -> Põhja-Sakala vald (EHAK 0615); per RT I 21.06.2017 1
suure_jaani_vallavalitsus,0615,haldusreform-2017,Wikidata: Suure-Jaani vald (EHAK 0758) -> Põhja-Sakala vald (EHAK 0615); per RT I 21.06.2017 1
suure_jaani_vallavolikogu,0615,haldusreform-2017,Wikidata: Suure-Jaani vald (EHAK 0758) -> Põhja-Sakala vald (EHAK 0615); per RT I 21.06.2017 1
tabivere_vallavalitsus,0796,haldusreform-2017,Wikidata: Tabivere vald (EHAK 0773) -> Tartu vald (EHAK 0796); per RT I 21.06.2017 1
tabivere_vallavolikogu,0796,haldusreform-2017,Wikidata: Tabivere vald (EHAK 0773) -> Tartu vald (EHAK 0796); per RT I 21.06.2017 1
taheva_vallavalitsus,0855,haldusreform-2017,Wikidata: Taheva vald (EHAK 0779) -> Valga vald (EHAK 0855); per RT I 21.06.2017 1
taheva_vallavolikogu,0855,haldusreform-2017,Wikidata: Taheva vald (EHAK 0779) -> Valga vald (EHAK 0855); per RT I 21.06.2017 1
tahkuranna_vallavalitsus,0214,haldusreform-2017,Wikidata: Tahkuranna vald (EHAK 0848) -> Häädemeeste vald (EHAK 0214); per RT I 21.06.2017 1
tahkuranna_vallavolikogu,0214,haldusreform-2017,Wikidata: Tahkuranna vald (EHAK 0848) -> Häädemeeste vald (EHAK 0214); per RT I 21.06.2017 1
tahtvere_vallavalitsus,0793,haldusreform-2017,Wikidata: Tähtvere vald (EHAK 0831) -> Tartu linn (EHAK 0793); per RT I 21.06.2017 1
tahtvere_vallavolikogu,0793,haldusreform-2017,Wikidata: Tähtvere vald (EHAK 0831) -> Tartu linn (EHAK 0793); per RT I 21.06.2017 1
tamsalu_vallavalitsus,0792,haldusreform-2017,Wikidata: Tamsalu vald (EHAK 0786) -> Tapa vald (EHAK 0792); per RT I 21.06.2017 1
tamsalu_vallavolikogu,0792,haldusreform-2017,Wikidata: Tamsalu vald (EHAK 0786) -> Tapa vald (EHAK 0792); per RT I 21.06.2017 1
tarvastu_vallavolikogu,0899,haldusreform-2017,Wikidata: Tarvastu vald (EHAK 0797) -> Viljandi vald (EHAK 0899); per RT I 21.06.2017 1
tolliste_vallavalitsus,0855,haldusreform-2017,Wikidata: Tõlliste vald (EHAK 0820) -> Valga vald (EHAK 0855); per RT I 21.06.2017 1
tolliste_vallavolikogu,0855,haldusreform-2017,Wikidata: Tõlliste vald (EHAK 0820) -> Valga vald (EHAK 0855); per RT I 21.06.2017 1
tootsi_vallavolikogu,0638,haldusreform-2017,Wikidata: Tootsi vald (EHAK 0805) -> Põhja-Pärnumaa vald (EHAK 0638); per RT I 21.06.2017 1
torgu_vallavolikogu,0714,haldusreform-2017,Wikidata: Torgu vald (EHAK 0807) -> Saaremaa vald (EHAK 0714); per RT I 21.06.2017 1
torma_vallavalitsus,0247,haldusreform-2017,Wikidata: Torma vald (EHAK 0810) -> Jõgeva vald (EHAK 0247); per RT I 21.06.2017 1
torma_vallavolikogu,0247,haldusreform-2017,Wikidata: Torma vald (EHAK 0810) -> Jõgeva vald (EHAK 0247); per RT I 21.06.2017 1
torva_linnavalitsus,0824,haldusreform-2017,Wikidata: Tõrva linn (EHAK 0823) -> Tõrva vald (EHAK 0824); per RT I 21.06.2017 1
torva_linnavolikogu,0824,haldusreform-2017,Wikidata: Tõrva linn (EHAK 0823) -> Tõrva vald (EHAK 0824); per RT I 21.06.2017 1
tostamaa_vallavalitsus,0624,haldusreform-2017,Wikidata: Tõstamaa vald (EHAK 0826) -> Pärnu linn (EHAK 0624); per RT I 21.06.2017 1
tostamaa_vallavolikogu,0624,haldusreform-2017,Wikidata: Tõstamaa vald (EHAK 0826) -> Pärnu linn (EHAK 0624); per RT I 21.06.2017 1
tudulinna_vallavolikogu,0130,haldusreform-2017,Wikidata: Tudulinna vald (EHAK 0815) -> Alutaguse vald (EHAK 0130); per RT I 21.06.2017 1
ulenurme_vallavalitsus,0283,haldusreform-2017,Wikidata: Ülenurme vald (EHAK 0949) -> Kambja vald (EHAK 0283); per RT I 21.06.2017 1
ulenurme_vallavolikogu,0283,haldusreform-2017,Wikidata: Ülenurme vald (EHAK 0949) -> Kambja vald (EHAK 0283); per RT I 21.06.2017 1
urvaste_vallavolikogu,0142,haldusreform-2017,Wikidata: Urvaste vald (EHAK 0843) -> Antsla vald (EHAK 0142); per RT I 21.06.2017 1
